dataHora,ordem,linha,latitude,longitude,velocidade
10-15-2017 15:52:12,D53630,393,"-22.88312","-43.495049",0
10-15-2017 15:52:17,D53547,393,"-22.8829","-43.495152",1
10-15-2017 15:52:54,B32840,,"-22.816401","-43.39439",10
10-15-2017 15:53:00,A41187,106,"-22.874615","-43.241066",0
10-15-2017 15:53:11,B32747,298,"-22.826321","-43.348652",0
10-15-2017 15:54:24,A37552,102,"-22.901951","-43.19648",0
10-15-2017 15:54:42,B32825,,"-22.81608","-43.394691",0
10-15-2017 15:54:44,B71003,247,"-22.902742","-43.314949",0.37
10-15-2017 15:54:49,A71619,106,"-22.924578","-43.252918",0.93
10-15-2017 15:55:00,A72038,117,"-22.889851","-43.29187",0.37
10-15-2017 15:55:23,D53550,393,"-22.884199","-43.494999",0
10-15-2017 15:55:27,B11566,778,"-22.811436","-43.372154",0
10-15-2017 15:55:28,A27515,,"-22.921101","-43.255852",0
10-15-2017 15:55:37,A41014,111,"-22.875973","-43.24155",0
10-15-2017 15:56:24,D53649,759,"-22.8841","-43.49527",36
10-15-2017 15:57:30,B28560,326,"-22.81489","-43.18853",0
10-15-2017 15:57:32,C41335,309,"-22.873749","-43.241772",0
10-15-2017 15:57:41,D86093,867,"-22.893501","-43.531902",0
10-15-2017 15:57:43,B11694,773,"-22.810904","-43.372921",0
10-15-2017 15:58:41,A29105,,"-22.86838","-43.291439",0
10-15-2017 15:58:52,D53602,759,"-22.884159","-43.495659",0
